geoid,name,B03002001,"B03002001, Error",B03002002,"B03002002, Error",B03002003,"B03002003, Error",B03002004,"B03002004, Error",B03002005,"B03002005, Error",B03002006,"B03002006, Error",B03002007,"B03002007, Error",B03002008,"B03002008, Error",B03002009,"B03002009, Error",B03002010,"B03002010, Error",B03002011,"B03002011, Error",B03002012,"B03002012, Error",B03002013,"B03002013, Error",B03002014,"B03002014, Error",B03002015,"B03002015, Error",B03002016,"B03002016, Error",B03002017,"B03002017, Error",B03002018,"B03002018, Error",B03002019,"B03002019, Error",B03002020,"B03002020, Error",B03002021,"B03002021, Error"
86000US91201,91201,23510,778,18841,817,15683,914,334,237,18,32,2225,390,12,23,18,22,551,242,84,77,467,218,4669,636,2318,536,41,41,5,10,0,22,5,9,2088,575,212,139,157,114,55,44
86000US91204,91204,17681,816,11608,783,7714,746,531,277,8,13,3051,453,0,19,0,19,304,166,45,50,259,162,6073,656,3566,747,55,67,15,25,71,57,0,19,2255,565,111,73,80,78,31,45
86000US91205,91205,37664,967,28237,984,21487,1092,778,278,6,10,5131,633,29,33,106,88,700,211,46,40,654,210,9427,737,5783,645,172,82,81,60,71,73,0,25,2961,606,359,196,158,112,201,145
86000US91206,91206,34247,1001,29191,1005,21814,1026,351,166,18,29,5838,514,58,66,18,15,1094,288,50,53,1044,273,5056,636,3241,471,66,79,67,79,102,101,0,25,1364,530,216,102,132,77,84,69
86000US91214,91214,30935,1038,27415,1078,17079,798,120,118,101,92,9061,845,16,25,35,56,1003,375,0,25,1003,375,3520,461,2128,444,16,21,0,25,39,46,0,25,960,357,377,173,351,173,26,31
86000US91302,91302,25906,697,24231,738,19903,881,467,398,24,39,2644,523,10,16,47,70,1136,289,49,49,1087,267,1675,438,1376,401,0,22,28,43,15,23,0,22,107,71,149,128,130,125,19,22
86000US91303,91303,29668,1082,10800,715,5677,541,1308,402,33,34,3226,519,49,51,39,36,468,192,7,10,461,194,18868,1100,12125,1061,24,26,75,69,28,36,81,115,6163,995,372,158,147,78,225,142
86000US91304,91304,52846,1659,30674,1244,19240,1185,2171,381,69,48,7469,656,43,42,175,124,1507,412,16,17,1491,411,22172,1872,7157,1140,39,36,38,42,298,204,0,28,13959,1881,681,209,548,202,133,87
86000US91306,91306,49043,1432,23131,1261,11926,865,1543,379,140,129,8126,745,58,81,209,195,1129,265,116,79,1013,268,25912,1615,9558,1307,94,81,55,53,47,36,0,25,14681,1291,1477,424,1188,395,289,176
86000US91307,91307,26703,980,22665,956,16666,892,817,319,235,210,3930,447,3,6,34,33,980,265,15,24,965,264,4038,659,2196,638,0,22,23,35,69,72,0,22,1036,343,714,393,403,323,311,272
86000US91311,91311,38479,894,29166,1010,19091,899,1474,369,87,85,6898,732,58,46,305,229,1253,332,130,110,1123,307,9313,872,5318,704,32,36,65,62,50,35,0,25,3088,685,760,313,578,293,182,89
86000US91316,91316,29485,1163,25160,1094,20587,1046,1060,535,10,10,2359,638,0,22,13,21,1131,287,12,18,1119,288,4325,851,3504,894,16,26,6,10,0,22,0,22,662,481,137,99,49,67,88,80
86000US91321,91321,34664,1080,18153,845,13604,783,868,291,38,36,2708,588,8,15,51,46,876,310,7,11,869,310,16511,1045,11310,1179,78,105,188,137,111,92,0,25,4006,752,818,329,237,125,581,316
86000US91324,91324,29689,1366,19109,1200,11264,695,2218,597,2,4,4916,652,39,51,60,42,610,285,43,47,567,277,10580,1084,4615,684,194,155,74,46,70,70,0,22,5120,957,507,209,332,175,175,123
86000US91325,91325,33558,1134,22688,1027,13544,772,2629,598,58,61,5345,581,62,63,39,37,1011,323,220,227,791,246,10870,909,5938,873,158,143,63,68,26,23,6,12,4277,799,402,183,351,179,51,38
86000US91326,91326,36168,1012,31611,938,17238,891,1189,451,164,111,11637,1077,151,214,65,57,1167,290,147,143,1020,264,4557,651,2747,632,4,7,0,25,52,53,0,25,1296,374,458,182,313,149,145,94
86000US91330,91330,3328,293,2199,190,1022,135,402,111,0,12,629,113,19,19,5,10,122,65,21,30,101,59,1129,213,315,84,15,15,5,10,7,13,0,12,673,200,114,54,62,35,52,36
86000US91331,91331,101536,1999,13901,767,4364,487,3204,484,121,81,5389,571,0,28,315,267,508,196,30,24,478,192,87635,1904,56490,2282,238,126,558,267,155,120,43,54,28721,1852,1430,368,1011,296,419,198
86000US91335,91335,80161,1767,38596,1373,24137,1184,3391,794,59,55,8922,672,168,208,321,165,1598,347,97,77,1501,348,41565,1858,30837,1772,144,106,221,173,77,61,23,39,9127,1226,1136,379,701,272,435,239
86000US91340,91340,35681,1047,3040,554,1537,404,765,251,136,154,331,191,180,140,23,23,68,62,35,53,33,32,32641,1092,20081,1492,279,304,74,79,0,25,9,16,11404,1180,794,379,429,179,365,305
86000US91342,91342,95222,2211,22377,1073,12291,813,3446,701,340,215,5182,636,52,54,166,98,900,287,35,46,865,281,72845,2071,56414,2376,259,125,415,189,153,77,32,39,13791,1717,1781,449,749,271,1032,358
86000US91343,91343,64323,1545,25399,1002,12837,872,2475,564,42,30,8388,656,165,154,295,207,1197,326,101,89,1096,310,38924,1338,17825,1400,55,45,51,35,110,103,13,19,20062,1474,808,239,427,174,381,182
86000US91344,91344,53290,1576,36180,1251,23573,1019,2120,746,75,66,8321,749,79,89,60,69,1952,469,121,116,1831,452,17110,1396,7843,921,78,56,182,184,103,84,18,29,7617,1185,1269,398,770,371,499,231
86000US91345,91345,18763,880,5758,507,3335,351,308,141,58,49,1788,375,0,19,102,92,167,94,0,19,167,94,13005,806,7311,1049,36,32,92,86,149,110,0,19,5018,1141,399,301,333,302,66,57
86000US91352,91352,47079,1405,12915,819,8864,688,652,308,48,49,2769,451,31,29,51,38,500,196,0,25,500,196,34164,1359,27020,1492,141,128,196,137,68,70,0,25,6012,803,727,230,356,167,371,168
86000US91356,91356,29728,1151,24570,1077,20362,1006,1050,296,17,27,1848,413,0,22,150,124,1143,365,25,31,1118,362,5158,588,2279,569,39,53,10,14,74,83,0,22,2439,613,317,134,227,112,90,69
86000US91364,91364,27607,975,23780,1051,19159,985,1474,579,44,42,1891,359,0,22,17,19,1195,522,0,22,1195,522,3827,656,2299,546,36,48,86,72,16,18,0,22,1151,429,239,117,145,85,94,68
86000US91367,91367,42319,1399,37417,1331,27830,1191,1724,490,153,126,5852,713,13,18,308,297,1537,390,83,61,1454,381,4902,784,2658,526,26,27,17,26,24,27,0,25,1537,721,640,258,387,159,253,149
86000US91371,91371,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
86000US91401,91401,41019,1355,22653,772,17201,792,2005,426,36,46,2282,479,2,4,215,129,912,267,9,14,903,265,18366,1171,7052,890,153,138,121,99,50,66,0,25,10590,1185,400,136,240,109,160,74
86000US91402,91402,71765,1534,19124,852,5539,554,1725,348,88,98,11201,910,50,48,46,34,475,182,53,77,422,157,52641,1644,28032,1785,170,118,263,172,151,96,10,15,23403,1652,612,204,404,186,208,92
86000US91403,91403,24579,908,22313,842,18027,855,1431,467,53,60,1786,340,16,26,65,52,935,238,35,43,900,233,2266,509,1861,436,53,67,56,89,14,22,0,22,241,111,41,36,30,37,11,19
86000US91405,91405,54356,1782,20297,993,13064,877,1970,426,63,57,4225,673,62,66,223,112,690,171,74,90,616,163,34059,1723,9197,1181,30,27,136,103,64,55,0,28,24162,1888,470,164,367,142,103,56
86000US91406,91406,55385,1421,23842,1070,15275,967,2597,535,104,66,4510,553,19,27,433,267,904,342,26,39,878,339,31543,1446,9662,978,56,44,126,84,47,42,0,28,21028,1822,624,227,291,127,333,159
86000US91411,91411,25290,1039,12677,758,9039,607,1082,283,22,35,1917,421,0,22,99,130,518,195,35,38,483,192,12613,1000,8989,997,160,105,33,34,17,21,21,34,3260,751,133,103,35,29,98,97
86000US91423,91423,34140,1220,29891,1091,24170,1097,1799,571,29,30,2293,483,60,75,31,31,1509,341,23,23,1486,340,4249,528,3402,485,41,51,72,83,0,25,0,25,507,177,227,107,88,88,139,94
86000US91436,91436,14353,757,13704,763,12188,722,161,101,13,20,1165,325,19,30,19,29,139,82,0,19,139,82,649,289,522,260,0,19,0,19,33,53,0,19,54,49,40,62,0,19,40,62
86000US91501,91501,20110,1023,17256,1111,13719,989,487,308,97,103,1851,386,0,22,154,184,948,331,0,22,948,331,2854,464,1343,357,65,90,58,61,126,155,0,22,1056,349,206,109,124,77,82,78
86000US91504,91504,26833,1082,20517,957,14452,994,529,235,40,46,4379,676,10,16,407,314,700,222,30,44,670,220,6316,671,3421,518,57,83,29,66,90,71,0,22,2512,596,207,130,185,128,22,29
86000US91505,91505,30985,879,22728,797,17375,735,880,296,78,115,2951,557,26,35,188,155,1230,316,128,114,1102,289,8257,661,5012,565,56,60,83,83,44,42,0,25,2578,566,484,191,286,161,198,115
86000US91506,91506,18125,695,13137,659,10299,746,73,49,49,46,1934,372,22,24,180,169,580,238,22,25,558,236,4988,495,3209,487,98,75,17,21,11,17,0,19,1305,353,348,251,170,144,178,176
86000US91601,91601,39318,1341,24049,1209,16363,1172,2863,531,109,116,3096,640,93,86,224,169,1301,324,27,26,1274,320,15269,1105,9407,1041,159,132,53,49,20,22,0,25,4945,864,685,239,304,147,381,203
86000US91602,91602,18615,791,15994,741,12423,632,1304,409,10,17,1516,288,56,79,33,43,652,205,14,24,638,201,2621,425,1446,309,25,27,89,97,0,19,0,19,783,315,278,191,215,187,63,48
86000US91604,91604,30386,1068,27411,1134,22526,1025,1361,360,39,52,2199,371,83,103,19,29,1184,330,30,33,1154,328,2975,568,2262,480,229,326,0,25,31,37,0,25,290,126,163,100,57,52,106,88
86000US91605,91605,55377,1635,21536,945,14617,846,1804,363,162,203,4135,505,65,92,87,97,666,237,47,67,619,219,33841,1564,18824,1537,375,418,437,269,13,15,0,28,13786,1333,406,186,245,170,161,76
86000US91606,91606,45040,1275,20569,945,15489,1106,1794,392,75,53,2457,462,10,12,79,73,665,249,28,23,637,246,24471,1368,13011,1192,272,251,57,76,49,64,56,88,10474,911,552,175,399,157,153,82
86000US91607,91607,31405,1158,23968,1078,18840,1079,2162,673,33,50,1994,478,50,59,84,75,805,269,128,131,677,251,7437,688,5778,670,51,50,112,136,0,25,8,13,961,312,527,272,63,47,464,267
86000US91608,91608,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
86000US91754,91754,33514,695,22606,886,1514,268,125,91,36,39,20129,831,123,151,71,74,608,294,23,24,585,293,10908,884,3766,761,0,25,97,77,120,88,5,8,6614,955,306,122,195,87,111,82
86000US91801,91801,55265,811,35147,1361,5094,548,1266,414,205,164,27790,1244,32,40,39,38,721,216,0,28,721,216,20118,1367,6934,949,40,34,38,36,242,135,14,24,11907,1522,943,341,716,311,227,121
86000US91803,91803,29502,813,18331,1066,2607,363,228,113,54,68,14928,904,74,54,8,14,432,189,48,60,384,181,11171,788,4696,741,29,33,46,48,86,65,18,28,5860,824,436,205,270,167,166,120
86000US93063,93063,56637,1167,43150,1148,35130,1071,776,227,196,115,4923,564,109,67,25,30,1991,436,152,112,1839,416,13487,950,8989,973,185,169,98,75,62,52,0,28,2903,605,1250,350,469,167,781,305
