,area_id,area_name,crm_cd,crm_cd_1,crm_cd_2,crm_cd_3,crm_cd_4,crm_cd_desc,cross_street,date_occ,date_rptd,dr_no,location,location_1,mocodes,premis_cd,premis_desc,rpt_dist_no,status,status_desc,time_occ,vict_age,vict_descent,vict_sex,weapon_desc,weapon_used_cd,Month,Year,Latitude,Longitude,Zip Code
1261,16,Foothill,110,110,998,,,CRIMINAL HOMICIDE,,2011-07-13,2011-07-13T00:00:00.000,111613334,11600    BROMONT                      AV,"{'type': 'Point', 'coordinates': [-118.4048, 34.2809]}",0407 0430 0906 1100 1414 1409 1407 1402,501,SINGLE FAMILY DWELLING,1602,AA,Adult Arrest,1612,25,B,F,UNKNOWN FIREARM,106,7,2011,34.2809,-118.4048,91340
1317,05,Harbor,110,110,,,,CRIMINAL HOMICIDE,,2015-09-03,2015-09-03T00:00:00.000,150501088,25900 S  WESTERN                      AV,"{'type': 'Point', 'coordinates': [-118.3076, 33.7882]}",0430 1100 0202,101,STREET,0531,AA,Adult Arrest,1910,42,H,M,HAND GUN,102,9,2015,33.7882,-118.3076,90710
1349,09,Van Nuys,110,110,,,,CRIMINAL HOMICIDE,,2015-10-10,2015-10-11T00:00:00.000,150918012,6000    KESTER                       AV,"{'type': 'Point', 'coordinates': [-118.4574, 34.1794]}",0906 1100 0430,101,STREET,0941,AA,Adult Arrest,2250,19,H,M,UNKNOWN FIREARM,106,10,2015,34.1794,-118.4574,91411
1403,03,Southwest,110,110,,,,CRIMINAL HOMICIDE,COLISEUM                     ST,2016-12-03,2016-12-03T00:00:00.000,160326463,NICOLET                      AV,"{'type': 'Point', 'coordinates': [-118.3403, 34.0126]}",3037 3104 2000,101,STREET,0363,AA,Adult Arrest,0200,50,B,F,VEHICLE,307,12,2016,34.0126,-118.3403,90008
1555,12,77th Street,110,110,,,,CRIMINAL HOMICIDE,VERNON                       AV,2016-04-05,2016-04-05T00:00:00.000,161210900,HARBOR                       FY,"{'type': 'Point', 'coordinates': [-118.2813, 34.0038]}",1822 0408,110,FREEWAY,1209,IC,Invest Cont,1300,19,H,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,4,2016,34.0038,-118.2813,90037
1766,01,Central,110,110,,,,CRIMINAL HOMICIDE,GLADYS                       AV,2017-02-12,2017-02-12T00:00:00.000,170106659,CENTRAL,"{'type': 'Point', 'coordinates': [-118.2397, 34.0429]}",1100 0430 1218 0906 2004,102,SIDEWALK,0148,AA,Adult Arrest,0317,42,H,M,HAND GUN,102,2,2017,34.0429,-118.2397,90013
1771,01,Central,110,110,998,,,CRIMINAL HOMICIDE,SAN PEDRO                    ST,2017-04-03,2017-04-03T00:00:00.000,170110825,7TH,"{'type': 'Point', 'coordinates': [-118.2468, 34.0407]}",1402 0411 0429 1310 2004,116,OTHER/OUTSIDE,0166,AA,Adult Arrest,2130,53,H,M,UNKNOWN WEAPON/OTHER WEAPON,500,4,2017,34.0407,-118.2468,90013
1794,01,Central,110,110,,,,CRIMINAL HOMICIDE,,2017-05-26,2017-05-26T00:00:00.000,170115263,500    GLADYS                       AV,"{'type': 'Point', 'coordinates': [-118.2405, 34.0421]}",0302 1100 0400 0906 0430,102,SIDEWALK,0158,AA,Adult Arrest,1128,35,B,M,HAND GUN,102,5,2017,34.0421,-118.2405,90013
1814,01,Central,110,110,,,,CRIMINAL HOMICIDE,,2017-06-23,2017-06-23T00:00:00.000,170117818,500 S  SAN PEDRO                    ST,"{'type': 'Point', 'coordinates': [-118.2439, 34.0442]}",1100 0430 0906 2004,102,SIDEWALK,0157,AA,Adult Arrest,0553,62,B,M,SEMI-AUTOMATIC PISTOL,109,6,2017,34.0442,-118.2439,90013
1820,01,Central,110,110,998,,,CRIMINAL HOMICIDE,WALL                         ST,2017-06-25,2017-06-25T00:00:00.000,170118021,4TH                          ST,"{'type': 'Point', 'coordinates': [-118.2447, 34.0464]}",1402 0430 0906 2004 1218 0930 1100,103,ALLEY,0138,AA,Adult Arrest,0650,43,B,M,UNKNOWN FIREARM,106,6,2017,34.0464,-118.2447,90013
1886,01,Central,110,110,,,,CRIMINAL HOMICIDE,,2017-09-22,2017-09-22T00:00:00.000,170125374,700 S  SPRING                       ST,"{'type': 'Point', 'coordinates': [-118.2523, 34.0445]}",0416 0417 0202 0395 1202 1218,108,PARKING LOT,0174,AA,Adult Arrest,0250,61,W,M,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,9,2017,34.0445,-118.2523,90014
2169,03,Southwest,110,110,,,,CRIMINAL HOMICIDE,,2017-03-21,2017-03-21T00:00:00.000,170309254,4000 S  WESTERN                      AV,"{'type': 'Point', 'coordinates': [-118.3089, 34.0109]}",0411 0344 0334 1310,101,STREET,0395,AA,Adult Arrest,1220,46,B,M,OTHER KNIFE,207,3,2017,34.0109,-118.3089,90062
2184,03,Southwest,110,110,,,,CRIMINAL HOMICIDE,,2017-04-27,2017-04-27T00:00:00.000,170311810,2900    CRENSHAW                     BL,"{'type': 'Point', 'coordinates': [0, 0]}",0302 1100 1310 1309 1313 0906 1270 1407,103,ALLEY,0333,AA,Adult Arrest,1550,25,B,M,HAND GUN,102,4,2017,0.0,0.0,NaN
2412,03,Southwest,110,110,998,,,CRIMINAL HOMICIDE,,2017-11-01,2017-11-01T00:00:00.000,170324524,2100 W  MARTIN LUTHER KING JR        BL,"{'type': 'Point', 'coordinates': [-118.3222, 34.0148]}",0400 0411 1402,109,PARK/PLAYGROUND,0374,AA,Adult Arrest,1546,32,H,M,OTHER KNIFE,207,11,2017,34.0148,-118.3222,90018
2444,04,Hollenbeck,110,110,998,,,CRIMINAL HOMICIDE,AVENUE 28,2017-04-15,2017-04-15T00:00:00.000,170408627,BARRANCA                     ST,"{'type': 'Point', 'coordinates': [-118.2168, 34.0804]}",1100 0430 0906 1407 0302 1402 1218,101,STREET,0412,IC,Invest Cont,0001,35,H,F,SEMI-AUTOMATIC PISTOL,109,4,2017,34.0804,-118.2168,90031
2457,04,Hollenbeck,110,110,998,,,CRIMINAL HOMICIDE,,2017-06-06,2017-06-06T00:00:00.000,170411029,1800    JOHNSTON                     ST,"{'type': 'Point', 'coordinates': [-118.2102, 34.0645]}",1100 0906 0302 0430 1402 1407 1218,102,SIDEWALK,0423,IC,Invest Cont,1453,35,H,M,HAND GUN,102,6,2017,34.0645,-118.2102,90033
2512,04,Hollenbeck,110,110,998,,,CRIMINAL HOMICIDE,,2017-08-31,2017-08-31T00:00:00.000,170414830,1800    HANCOCK                      ST,"{'type': 'Point', 'coordinates': [-118.209, 34.0649]}",0416 1402 1218,121,YARD (RESIDENTIAL/BUSINESS),0423,IC,Invest Cont,1700,38,H,M,CONCRETE BLOCK/BRICK,310,8,2017,34.0649,-118.209,90033
2525,04,Hollenbeck,110,110,998,,,CRIMINAL HOMICIDE,,2017-10-17,2017-10-17T00:00:00.000,170416954,200 S  INDIANA                      ST,"{'type': 'Point', 'coordinates': [-118.1924, 34.0338]}",1100 0430 1407 1402 0906 0910,102,SIDEWALK,0469,AA,Adult Arrest,0134,21,H,M,SEMI-AUTOMATIC PISTOL,109,10,2017,34.0338,-118.1924,90063
2559,05,Harbor,110,110,,,,CRIMINAL HOMICIDE,,2017-10-16,2017-10-16T00:00:00.000,170501274,1500 W  ANAHEIM                      ST,"{'type': 'Point', 'coordinates': [-118.302, 33.7845]}",1251 1100 0206 0430 0906 1259,102,SIDEWALK,0531,AA,Adult Arrest,1750,16,B,M,HAND GUN,102,10,2017,33.7845,-118.302,90710
3903,12,77th Street,110,110,998,,,CRIMINAL HOMICIDE,,2017-09-04,2017-09-04T00:00:00.000,171201004,1000 E  83RD                         ST,"{'type': 'Point', 'coordinates': [-118.2575, 33.9638]}",1300 1100 0430 1407 0913,101,STREET,1269,AA,Adult Arrest,1051,25,B,M,UNKNOWN FIREARM,106,9,2017,33.9638,-118.2575,90001
3912,12,77th Street,110,110,998,,,CRIMINAL HOMICIDE,GRAND                        AV,2017-01-04,2017-01-04T00:00:00.000,171204248,73RD                         ST,"{'type': 'Point', 'coordinates': [-118.2803, 33.9737]}",1270 0906 0430 0371 0302 1310 1100 1402,101,STREET,1256,IC,Invest Cont,0234,28,H,M,HAND GUN,102,1,2017,33.9737,-118.2803,90003
3913,12,77th Street,110,110,,,,CRIMINAL HOMICIDE,,2017-01-08,2017-01-08T00:00:00.000,171204480,700 W  45TH                         ST,"{'type': 'Point', 'coordinates': [-118.2856, 34.0027]}",1402 1309 1310 0430 0906 1100,101,STREET,1208,IC,Invest Cont,0040,25,H,M,HAND GUN,102,1,2017,34.0027,-118.2856,90037
3923,12,77th Street,110,110,,,,CRIMINAL HOMICIDE,,2017-02-01,2017-02-02T00:00:00.000,171206254,7500 S  MAIN                         ST,"{'type': 'Point', 'coordinates': [-118.2739, 33.9718]}",0302 0334 0430 1100 1300 1402 1407 1266 0906,101,STREET,1258,IC,Invest Cont,2225,45,B,M,HAND GUN,102,2,2017,33.9718,-118.2739,90003
3929,12,77th Street,110,110,,,,CRIMINAL HOMICIDE,,2017-02-14,2017-02-14T00:00:00.000,171207154,1700 W  60TH                         ST,"{'type': 'Point', 'coordinates': [-118.3068, 33.9859]}",1100 0430 1202 1813 1821 0302 2000 1419 0416,501,SINGLE FAMILY DWELLING,1233,AA,Adult Arrest,1850,73,B,F,SHOTGUN,104,2,2017,33.9859,-118.3068,90062
3968,12,77th Street,110,110,,,,CRIMINAL HOMICIDE,,2017-05-28,2017-05-28T00:00:00.000,171214651,1700 W  60TH                         PL,"{'type': 'Point', 'coordinates': [-118.3068, 33.9851]}",1270 1100 0302 0430 1402 0906,102,SIDEWALK,1233,IC,Invest Cont,2353,28,B,M,UNKNOWN FIREARM,106,5,2017,33.9851,-118.3068,90062
3970,12,77th Street,110,110,,,,CRIMINAL HOMICIDE,,2017-06-02,2017-06-03T00:00:00.000,171215120,8100    AVALON                       BL,"{'type': 'Point', 'coordinates': [-118.2651, 33.9656]}",1822 0342 0309 1309 1100 0906 1270 0430,102,SIDEWALK,1269,AA,Adult Arrest,1730,29,B,M,REVOLVER,101,6,2017,33.9656,-118.2651,90003
3980,12,77th Street,110,110,,,,CRIMINAL HOMICIDE,MAIN                         ST,2017-05-27,2017-05-27T00:00:00.000,171214582,77TH                         ST,"{'type': 'Point', 'coordinates': [-118.2739, 33.9699]}",0342 1309 1313 0302 0430 0326 0906 1100,102,SIDEWALK,1258,AA,Adult Arrest,2003,27,H,M,HAND GUN,102,5,2017,33.9699,-118.2739,90003
4000,12,77th Street,110,110,,,,CRIMINAL HOMICIDE,,2017-07-05,2017-07-05T00:00:00.000,171217484,1000 E  84TH                         PL,"{'type': 'Point', 'coordinates': [-118.2575, 33.962]}",1100 0430 0906 0334 0342 1309 1270,102,SIDEWALK,1269,IC,Invest Cont,1605,26,H,M,HAND GUN,102,7,2017,33.962,-118.2575,90001
4061,12,77th Street,110,110,,,,CRIMINAL HOMICIDE,,2017-08-17,2017-08-17T00:00:00.000,171220705,1000 E  84TH                         PL,"{'type': 'Point', 'coordinates': [-118.2575, 33.962]}",1822 1309 1313 0302 0450 0430 0906 1270 1100,102,SIDEWALK,1269,AA,Adult Arrest,1330,21,B,M,SEMI-AUTOMATIC PISTOL,109,8,2017,33.962,-118.2575,90001
4087,12,77th Street,110,110,,,,CRIMINAL HOMICIDE,,2017-09-03,2017-09-03T00:00:00.000,171221858,5800 S  FIGUEROA                     ST,"{'type': 'Point', 'coordinates': [-118.2827, 33.9883]}",1407 1419 1100 0430 0334 0913,101,STREET,1239,IC,Invest Cont,1040,41,B,M,HAND GUN,102,9,2017,33.9883,-118.2827,90037
4099,12,77th Street,110,110,998,,,CRIMINAL HOMICIDE,,2017-09-13,2017-09-13T00:00:00.000,171222642,5000 S  HOOVER                       ST,"{'type': 'Point', 'coordinates': [-118.2871, 33.9974]}",1402 1407 0906 1100 0430,101,STREET,1208,AA,Adult Arrest,0445,40,B,M,HAND GUN,102,9,2017,33.9974,-118.2871,90037
4114,12,77th Street,110,110,,,,CRIMINAL HOMICIDE,,2017-09-29,2017-09-29T00:00:00.000,171223886,5900    WEST                         BL,"{'type': 'Point', 'coordinates': [-118.3352, 33.9872]}",1419 1407 1402 1100 1309 0342 1270 0906 0430,102,SIDEWALK,1232,IC,Invest Cont,1045,30,B,M,HAND GUN,102,9,2017,33.9872,-118.3352,90043
4147,12,77th Street,110,110,,,,CRIMINAL HOMICIDE,,2017-10-15,2017-10-15T00:00:00.000,171225007,1800 W  77TH                         ST,"{'type': 'Point', 'coordinates': [-118.309, 33.97]}",0342 0430 0302 1822 0906 1100,102,SIDEWALK,1253,AA,Adult Arrest,1120,59,B,M,HAND GUN,102,10,2017,33.97,-118.309,90047
4377,13,Newton,110,110,998,,,CRIMINAL HOMICIDE,,2017-10-29,2017-10-29T00:00:00.000,171323229,100 W  60TH                         ST,"{'type': 'Point', 'coordinates': [-118.2739, 33.9852]}",1402 0430 1309 0309 1100 0906,101,STREET,1383,AA,Adult Arrest,1502,25,H,M,HAND GUN,102,10,2017,33.9852,-118.2739,90037
4398,13,Newton,110,110,,,,CRIMINAL HOMICIDE,,2017-11-02,2017-11-02T00:00:00.000,171323498,4200    AVALON                       BL,"{'type': 'Point', 'coordinates': [-118.2653, 34.0076]}",0400 0408 0416,701,HOSPITAL,1344,AA,Adult Arrest,2130,30,W,M,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,11,2017,34.0076,-118.2653,90011
5141,18,Southeast,110,110,998,,,CRIMINAL HOMICIDE,,2017-01-27,2017-01-27T00:00:00.000,171805472,1500 E  96TH                         ST,"{'type': 'Point', 'coordinates': [-118.248, 33.9491]}",1100 0430 1407 0906 1310,101,STREET,1826,IC,Invest Cont,1655,35,H,M,UNKNOWN FIREARM,106,1,2017,33.9491,-118.248,90002
5144,18,Southeast,110,110,,,,CRIMINAL HOMICIDE,,2017-02-12,2017-02-13T00:00:00.000,171806367,9300    CLOVIS                       AV,"{'type': 'Point', 'coordinates': [-118.2564, 33.9521]}",0302 0334 0342 0430 1309 1407 1409 0906 1100,101,STREET,1824,AA,Adult Arrest,2145,33,H,M,HAND GUN,102,2,2017,33.9521,-118.2564,90002
5150,18,Southeast,110,110,,,,CRIMINAL HOMICIDE,104TH                        ST,2017-03-15,2017-03-15T00:00:00.000,171808031,GRANDEE                      AV,"{'type': 'Point', 'coordinates': [-118.244, 33.9415]}",1309 1100 1402 1407 0906 1313 0302 0430,101,STREET,1837,AA,Adult Arrest,0015,23,H,M,SEMI-AUTOMATIC PISTOL,109,3,2017,33.9415,-118.244,90002
5164,18,Southeast,110,110,,,,CRIMINAL HOMICIDE,,2017-04-29,2017-04-29T00:00:00.000,171810624,9500    AVALON                       BL,"{'type': 'Point', 'coordinates': [-118.2651, 33.9502]}",0906 1310 0302 0430 1100,108,PARKING LOT,1824,AA,Adult Arrest,0315,38,H,M,UNKNOWN FIREARM,106,4,2017,33.9502,-118.2651,90002
5171,18,Southeast,110,110,,,,CRIMINAL HOMICIDE,,2017-04-23,2017-04-23T00:00:00.000,171810258,400 E  116TH                        ST,"{'type': 'Point', 'coordinates': [-118.2664, 33.9292]}",0430 1300 1309 1313 0906,102,SIDEWALK,1863,AA,Adult Arrest,2140,23,B,M,HAND GUN,102,4,2017,33.9292,-118.2664,90061
5184,18,Southeast,110,110,,,,CRIMINAL HOMICIDE,,2017-05-31,2017-05-31T00:00:00.000,171812535,100 W  104TH                        ST,"{'type': 'Point', 'coordinates': [-118.2739, 33.942]}",1100 0430 0906 1407,101,STREET,1832,AO,Adult Other,1240,27,B,M,HAND GUN,102,5,2017,33.942,-118.2739,90044
5254,18,Southeast,110,110,,,,CRIMINAL HOMICIDE,,2017-08-06,2017-08-06T00:00:00.000,171816327,10800    KALMIA                       ST,"{'type': 'Point', 'coordinates': [-118.2321, 33.9374]}",1402 0906 0342 1309 0411 0334 0445 0326,101,STREET,1839,AO,Adult Other,0309,25,H,M,FOLDING KNIFE,204,8,2017,33.9374,-118.2321,90059
5266,18,Southeast,110,110,998,,,CRIMINAL HOMICIDE,GRAPE                        ST,2017-08-25,2017-08-25T00:00:00.000,171817574,105TH                        ST,"{'type': 'Point', 'coordinates': [-118.2369, 33.9406]}",0906 1407 1401 1809 0430 1100,103,ALLEY,1838,AA,Adult Arrest,2345,21,H,M,HAND GUN,102,8,2017,33.9406,-118.2369,90059
10613,07,Wilshire,110,110,998,,,CRIMINAL HOMICIDE,,2013-07-12,2013-07-12T00:00:00.000,130712384,4100    VENICE                       BL,"{'type': 'Point', 'coordinates': [-118.3255, 34.0457]}",0906 1100 1402 0430 1310 1407 1419,104,DRIVEWAY,0767,AA,Adult Arrest,1238,21,B,M,HAND GUN,102,7,2013,34.0457,-118.3255,90019
15848,18,Southeast,110,110,998,,,CRIMINAL HOMICIDE,,2017-06-02,2017-06-02T00:00:00.000,171812655,200 W  89TH                         ST,"{'type': 'Point', 'coordinates': [-118.2744, 33.9556]}",0342 1402 1100 1309 0430 1407 0326 0906,104,DRIVEWAY,1802,AA,Adult Arrest,2245,30,B,M,SEMI-AUTOMATIC PISTOL,109,6,2017,33.9556,-118.2744,90003
17296,01,Central,110,110,,,,CRIMINAL HOMICIDE,,2017-11-18,2017-11-18T00:00:00.000,170129794,200    WERDIN                       PL,"{'type': 'Point', 'coordinates': [-118.2444, 34.0502]}",0906 1100 0430,103,ALLEY,0135,AA,Adult Arrest,0001,21,B,M,HAND GUN,102,11,2017,34.0502,-118.2444,90013
17655,02,Rampart,110,110,998,,,CRIMINAL HOMICIDE,,2017-11-30,2017-12-01T00:00:00.000,170201035,400    WITMER                       ST,"{'type': 'Point', 'coordinates': [-118.2644, 34.0576]}",1402 1407 1300 0326 0305 0430 0202 1100 0906,102,SIDEWALK,0248,IC,Invest Cont,1843,19,H,M,HAND GUN,102,11,2017,34.0576,-118.2644,90017
18267,03,Southwest,110,110,,,,CRIMINAL HOMICIDE,,2017-11-30,2017-12-01T00:00:00.000,170301065,4300 S  VERMONT                      AV,"{'type': 'Point', 'coordinates': [-118.298, 34.0073]}",0302 0309 0334 0430 1100 1309 1407 1822 0906,108,PARKING LOT,0397,IC,Invest Cont,1801,27,B,M,HAND GUN,102,11,2017,34.0073,-118.298,90062
18993,03,Southwest,110,110,,,,CRIMINAL HOMICIDE,WALTON                       AV,2017-11-09,2017-11-09T00:00:00.000,170325086,42ND                         ST,"{'type': 'Point', 'coordinates': [-118.2941, 34.0073]}",0411 1822,102,SIDEWALK,0397,IC,Invest Cont,0350,34,B,M,,,11,2017,34.0073,-118.2941,90037
20781,04,Hollenbeck,110,110,998,,,CRIMINAL HOMICIDE,,2017-11-22,2017-11-22T00:00:00.000,170418619,1900    SICHEL                       ST,"{'type': 'Point', 'coordinates': [-118.2129, 34.066]}",1100 0906 1309 0430 0302 0309 1402,119,"PORCH, RESIDENTIAL",0423,IC,Invest Cont,1949,30,H,M,UNKNOWN FIREARM,106,11,2017,34.066,-118.2129,90031
22062,05,Harbor,110,110,,,,CRIMINAL HOMICIDE,,2017-10-28,2017-10-28T00:00:00.000,170501309,1100 W  CRUCES                       ST,"{'type': 'Point', 'coordinates': [-118.2764, 33.7914]}",1100 0906 1251 0430,102,SIDEWALK,0514,JA,Juv Arrest,0145,19,H,M,HAND GUN,102,10,2017,33.7914,-118.2764,90744
25683,09,Van Nuys,110,110,,,,CRIMINAL HOMICIDE,,2017-10-29,2017-10-29T00:00:00.000,170919500,6700    GREENBUSH                    AV,"{'type': 'Point', 'coordinates': [-118.4257, 34.1922]}",1100 1402 0430,501,SINGLE FAMILY DWELLING,0919,IC,Invest Cont,1108,73,O,M,HAND GUN,102,10,2017,34.1922,-118.4257,91401
27472,12,77th Street,110,110,,,,CRIMINAL HOMICIDE,,2017-11-07,2017-11-07T00:00:00.000,171201188,8100 S  VERMONT                      AV,"{'type': 'Point', 'coordinates': [-118.2914, 33.9655]}",0411 1822,102,SIDEWALK,1266,IC,Invest Cont,1835,60,H,M,UNKNOWN WEAPON/OTHER WEAPON,500,11,2017,33.9655,-118.2914,90003
29339,12,77th Street,110,110,,,,CRIMINAL HOMICIDE,,2017-11-18,2017-11-18T00:00:00.000,171227448,5400    6TH                          AV,"{'type': 'Point', 'coordinates': [-118.3236, 33.9932]}",0430 1270 0906 1300 1100 1402,103,ALLEY,1211,IC,Invest Cont,0005,45,B,M,HAND GUN,102,11,2017,33.9932,-118.3236,90043
29965,13,Newton,110,110,,,,CRIMINAL HOMICIDE,,2017-10-19,2017-10-19T00:00:00.000,171322583,2200 S  SAN PEDRO                    ST,"{'type': 'Point', 'coordinates': [-118.2592, 34.0249]}",0410 1257,501,SINGLE FAMILY DWELLING,1323,AA,Adult Arrest,0230,,B,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,10,2017,34.0249,-118.2592,90015
30331,13,Newton,110,110,998,,,CRIMINAL HOMICIDE,,2017-11-05,2017-11-05T00:00:00.000,171323653,200 W  57TH                         ST,"{'type': 'Point', 'coordinates': [-118.2761, 33.9906]}",1100 0906 0302 0334 0430 1402 1407,121,YARD (RESIDENTIAL/BUSINESS),1371,IC,Invest Cont,1822,31,H,M,HAND GUN,102,11,2017,33.9906,-118.2761,90037
30348,13,Newton,110,110,998,,,CRIMINAL HOMICIDE,,2017-11-10,2017-11-10T00:00:00.000,171323964,1100 E  46TH                         ST,"{'type': 'Point', 'coordinates': [-118.2565, 34.0021]}",1100 0430 0334 0302 0906 1402,103,ALLEY,1364,IC,Invest Cont,1815,33,B,M,HAND GUN,102,11,2017,34.0021,-118.2565,90011
30830,13,Newton,110,110,998,,,CRIMINAL HOMICIDE,,2017-11-10,2017-11-10T00:00:00.000,171323929,500 E  WASHINGTON                   BL,"{'type': 'Point', 'coordinates': [-118.2602, 34.029]}",1402 0430 1310 1240 1100 0906,108,PARKING LOT,1313,IC,Invest Cont,0330,48,H,M,HAND GUN,102,11,2017,34.029,-118.2602,90015
30925,13,Newton,110,110,,,,CRIMINAL HOMICIDE,,2017-10-20,2017-10-23T00:00:00.000,171322915,2200 S  SAN PEDRO                    ST,"{'type': 'Point', 'coordinates': [-118.2592, 34.0249]}",1258 0553 0410,501,SINGLE FAMILY DWELLING,1323,AA,Adult Arrest,1734,,B,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400,10,2017,34.0249,-118.2592,90015
34294,16,Foothill,110,110,998,,,CRIMINAL HOMICIDE,,2017-11-24,2017-11-24T00:00:00.000,171601265,11700    BROMONT                      AV,"{'type': 'Point', 'coordinates': [-118.4063, 34.2824]}",0906 1270 0302 1218 1414 1822 1409 0430 1100 1309,102,SIDEWALK,1602,IC,Invest Cont,1805,19,H,M,UNKNOWN FIREARM,106,11,2017,34.2824,-118.4063,91340
35908,18,Southeast,110,110,,,,CRIMINAL HOMICIDE,,2017-12-04,2017-12-04T00:00:00.000,171823644,2100 E  99TH                         PL,"{'type': 'Point', 'coordinates': [-118.2348, 33.9471]}",1100 1822 0430 0906,101,STREET,1829,IC,Invest Cont,0130,34,B,M,HAND GUN,102,12,2017,33.9471,-118.2348,90002
36033,18,Southeast,110,110,,,,CRIMINAL HOMICIDE,,2017-11-20,2017-11-21T00:00:00.000,171822847,400 W  109TH                        PL,"{'type': 'Point', 'coordinates': [-118.2806, 33.9365]}",0395 1100 0430 0906 1309,101,STREET,1842,IC,Invest Cont,2144,45,B,M,SEMI-AUTOMATIC PISTOL,109,11,2017,33.9365,-118.2806,90044
36597,18,Southeast,110,110,,,,CRIMINAL HOMICIDE,,2017-11-19,2017-11-19T00:00:00.000,171822783,9300 S  CENTRAL                      AV,"{'type': 'Point', 'coordinates': [-118.2554, 33.9518]}",0906 1100 1407 0430,101,STREET,1824,IC,Invest Cont,1758,20,B,F,HAND GUN,102,11,2017,33.9518,-118.2554,90002
36630,18,Southeast,110,110,998,,,CRIMINAL HOMICIDE,,2017-11-18,2017-11-18T00:00:00.000,171822746,8700    AVALON                       BL,"{'type': 'Point', 'coordinates': [-118.2651, 33.9592]}",1100 0430 1402 1407 1310,101,STREET,1804,AA,Adult Arrest,2040,26,H,M,REVOLVER,101,11,2017,33.9592,-118.2651,90003
37042,19,Mission,110,110,,,,CRIMINAL HOMICIDE,,2017-11-23,2017-11-23T00:00:00.000,171922116,14200    GAGER                        ST,"{'type': 'Point', 'coordinates': [-118.4436, 34.2442]}",0395 1822 0430 1100 0906,501,SINGLE FAMILY DWELLING,1967,IC,Invest Cont,2015,26,F,M,UNKNOWN FIREARM,106,11,2017,34.2442,-118.4436,91331
37456,19,Mission,110,110,998,,,CRIMINAL HOMICIDE,,2017-12-06,2017-12-06T00:00:00.000,171922786,8700    LANGDON                      AV,"{'type': 'Point', 'coordinates': [-118.4699, 34.2283]}",1402 1100 0430 0906 0371,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",1981,AA,Adult Arrest,2050,29,H,M,HAND GUN,102,12,2017,34.2283,-118.4699,91343
38077,19,Mission,110,110,,,,CRIMINAL HOMICIDE,PARTHENIA                    ST,2017-12-05,2017-12-05T00:00:00.000,171922715,KESTER,"{'type': 'Point', 'coordinates': [-118.4575, 34.2282]}",0906 1270 0430 0209 1100,109,PARK/PLAYGROUND,1984,JA,Juv Arrest,1230,33,H,M,HAND GUN,102,12,2017,34.2282,-118.4575,91402
38515,20,Olympic,110,110,998,,,CRIMINAL HOMICIDE,,2017-11-24,2017-11-24T00:00:00.000,172021049,200 S  ALEXANDRIA                   AV,"{'type': 'Point', 'coordinates': [-118.2979, 34.0712]}",0416 1402 2004,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",2016,AA,Adult Arrest,0205,49,H,M,PIPE/METAL PIPE,312,11,2017,34.0712,-118.2979,90004
39252,20,Olympic,110,110,,,,CRIMINAL HOMICIDE,,2017-04-09,2017-04-09T00:00:00.000,172021655,2300 W  18TH                         ST,"{'type': 'Point', 'coordinates': [-118.309, 34.0418]}",0411,101,STREET,2081,IC,Invest Cont,1545,38,H,M,OTHER KNIFE,207,4,2017,34.0418,-118.309,90006
41509,07,Wilshire,110,110,998,,,CRIMINAL HOMICIDE,,2017-08-28,2017-08-28T00:00:00.000,170714842,7500    MELROSE                      AV,"{'type': 'Point', 'coordinates': [-118.3532, 34.0837]}",1402 1419 1407 0906 1270 0430 1100 0202,101,STREET,0702,AO,Adult Other,1743,27,B,M,HAND GUN,102,8,2017,34.0837,-118.3532,90036
41516,07,Wilshire,110,110,998,,,CRIMINAL HOMICIDE,,2017-10-14,2017-10-14T00:00:00.000,170716966,7000    MELROSE                      AV,"{'type': 'Point', 'coordinates': [-118.3428, 34.0835]}",0906 1414 0334 1100 1402 1407 0430,210,RESTAURANT/FAST FOOD,0706,AA,Adult Arrest,2335,26,B,M,HAND GUN,102,10,2017,34.0835,-118.3428,90038
41633,13,Newton,110,110,998,,,CRIMINAL HOMICIDE,,2017-05-18,2017-05-18T00:00:00.000,171312639,700    CROCKER                      ST,"{'type': 'Point', 'coordinates': [-118.2459, 34.0401]}",1402 0411 0334 0906 2004 1218,102,SIDEWALK,1307,AA,Adult Arrest,0155,30,B,M,UNKNOWN WEAPON/OTHER WEAPON,500,5,2017,34.0401,-118.2459,90013
41635,13,Newton,110,110,998,,,CRIMINAL HOMICIDE,,2017-08-07,2017-08-07T00:00:00.000,171317934,2000 E  8TH                          ST,"{'type': 'Point', 'coordinates': [-118.2357, 34.0295]}",1407 0302 0334 1100 0430 0907 1419 0906 1218,101,STREET,1309,AA,Adult Arrest,1953,38,H,M,HAND GUN,102,8,2017,34.0295,-118.2357,90021
